step,loss_function,target_value,elapsed_time
0,2.40129e+00,7.56174e-01,27
5,2.23899e+00,8.06104e-01,46
10,2.08459e+00,8.55823e-01,46
15,1.93212e+00,9.05261e-01,46
20,1.78811e+00,9.54143e-01,46
