step,loss_function,target_value,elapsed_time
0,5.34036e-03,3.18384e-01,32
5,6.93282e-03,3.16366e-01,46
10,6.87665e-03,3.15104e-01,46
15,6.77957e-03,3.14860e-01,46
20,6.73600e-03,3.15395e-01,46
